word,frequency
book,56591
film,22603
story,22054
life,21035
world,20090
work,19741
read,16988
game,15740
end,13419
music,13200
point,12474
war,12467
man,12351
set,12340
author,11853
high,11014
characters,10852
power,10529
sound,10401
movie,10187
books,9968
series,9827
course,9531
character,9363
times,9266
album,9218
small,8967
home,8870
family,8824
case,8821
version,8804
song,8681
feel,8629
comes,8451
quality,8420
having,8414
problem,8366
second,8332
features,8251
help,8229
place,8222
history,8220
thought,8199
chapter,8171
page,8134
especially,8125
big,8109
video,7923
away,7907
play,7869
